"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"174","emanuele","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"175","emanuele","D2",1,1,0,0,0,0,0,1,1,1,0,450,0,450,0,1,"ija","1"
"176","emanuele","D5",1,1,0,0,0,0,0,1,1,1,0,436,0,436,0,1,"ija","1"
"177","ernesto","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"178","ernesto","A2",0,1,0,0,0,0,0,1,1,0,0,1166,0,378,0,1,"ija","-"
"179","ernesto","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"180","ernesto","A6",0,0,0,0,0,0,0,1,0,0,0,150,0,150,0,1,"ija","-"
"181","ernesto","B2",0,1,0,0,0,0,0,1,1,0,0,656,0,460,0,1,"ija","-"
"182","ernesto","B5",0,1,0,0,0,0,0,1,1,0,0,1102,0,776,0,1,"ija","-"
"183","ernesto","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"184","ernesto","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"185","ernesto","D2",0,1,0,0,0,0,0,1,1,0,0,1102,0,1102,0,1,"ija","-"
"186","ernesto","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"187","ernesto","D5",0,1,0,0,0,0,0,1,1,0,0,524,0,524,0,1,"ija","-"
"188","everton","A1",1,1,0,0,0,0,0,1,1,1,0,209,0,209,0,1,"rja","-"
"189","everton","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"190","everton","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"191","everton","A6",2,2,0,0,0,0,0,1,1,1,0,374,0,194,0,1,"ija","-"
"192","everton","B2",0,1,0,0,0,0,0,1,1,0,0,616,0,189,0,1,"ija","-"
"193","everton","B5",1,1,0,0,0,0,0,1,1,1,0,612,0,201,0,1,"ija","-"
"194","everton","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"195","everton","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"196","everton","D1",0,1,0,0,0,0,0,1,1,0,0,295,0,120,0,1,"rja","-"
"197","everton","D2",1,1,0,0,0,0,0,1,1,1,0,222,0,222,0,1,"ija","-"
"198","everton","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"199","everton","D5",0,0,0,0,0,0,0,1,0,0,0,763,0,201,0,1,"ija","-"
"200","felipe","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"201","felipe","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"202","felipe","B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"203","felipe","B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"204","felipe","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"205","felipe","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"206","felipe","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"207","felipe","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
