"","video_clip","RECORDING_SESSION_LABEL","TRIAL_INDEX","CURRENT_FIX_DURATION","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREAS","CURRENT_FIX_START","TRIAL_FIXATION_TOTAL","TRIAL_LABEL","VIDEO_NAME_END","VIDEO_NAME_START","ROIfundo","ROIfrente","anchor_time","correction_time","CRUZ_START.x","CRUZ_END.x","parte_trial","CRUZ_START.y","CRUZ_END.y","trial","Estímulo(referencia esq/dir - olhando para tela)","Roi cabeça(fundo)","ROI alvo (frente)","ROI Nalvo (frente)","acerto_fundo","acerto_frente","olhou_pro_errado"
"86","A1","ayla.2",11,190,1,"[ 4]",10,9,"Trial: 11","EstrelinhasR640x680.avi",".",4,NA,-428,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"87","A1","ayla.2",11,192,2,"[ 4]",218,9,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",4,NA,-220,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"88","A1","ayla.2",11,582,3,"[ 3]",438,9,"Trial: 11","A1.avi","EstrelinhasR640x680.avi",3,NA,0,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"89","A1","ayla.2",11,1506,4,"[ 3]",1046,9,"Trial: 11","A1.avi","A1.avi",3,NA,608,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"90","A1","ayla.2",11,188,5,"[ 3]",2572,9,"Trial: 11","A1.avi","A1.avi",3,NA,2134,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"91","A1","ayla.2",11,472,6,"[ 3]",2776,9,"Trial: 11","A1.avi","A1.avi",3,NA,2338,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"92","A1","ayla.2",11,1318,7,"[ 3]",3272,9,"Trial: 11","A1.avi","A1.avi",3,NA,2834,438,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"93","A1","ayla.2",11,1592,8,"[ 3]",4614,9,"Trial: 11","A1.avi","A1.avi",3,NA,4176,438,"3750","4250","cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"94","A1","ayla.2",11,376,9,"[ 3]",6438,9,"Trial: 11","A1.avi","A1.avi",3,NA,6000,438,"3750","4250","pos_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"95","A1","bernardo",11,148,1,"[ 4]",2370,10,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",4,NA,-4426,6796,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"FALSE","FALSE","FALSE"
"96","A1","bernardo",11,174,2,"[ 3]",2558,10,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",3,NA,-4238,6796,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"97","A1","bernardo",11,98,3,"[ 3]",2748,10,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",3,NA,-4048,6796,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
"98","A1","bernardo",11,24,4,"[ 3]",2914,10,"Trial: 11","EstrelinhasR640x680.avi","EstrelinhasR640x680.avi",3,NA,-3882,6796,"3750","4250","pre_cruz","3750","4250",11,"RJA - olhar pra direita (adulto)",3,8,7,"TRUE","FALSE","FALSE"
